Topology_ID,N,Topology_Type,Edges,Avg_Degree,Final_r(t),Image_File,Cost,Efficiency
106,100,random,1943,38.86,0.7462999674915348,topo_106_N100_random.png,0.3925252525252525,0.7568965187540921
107,100,random,1960,39.2,0.7845995582845886,topo_107_N100_random.png,0.39595959595959596,0.7957399171243292
108,100,random,2202,44.04,0.9324035845468388,topo_108_N100_random.png,0.4448484848484848,0.9456425806763071
109,100,random,1499,29.98,0.6121125224409423,topo_109_N100_random.png,0.30282828282828284,0.6208037752950734
110,100,random,1015,20.3,0.31595229458544,topo_110_N100_random.png,0.20505050505050504,0.3204384326424341
111,100,random,2435,48.7,0.922459143608708,topo_111_N100_random.png,0.4919191919191919,0.9355569407796227
112,100,random,2382,47.64,0.9486376183188088,topo_112_N100_random.png,0.4812121212121212,0.9621071179703943
113,100,random,1049,20.98,0.1561584112482227,topo_113_N100_random.png,0.21191919191919192,0.1583756706371427
114,100,random,1318,26.36,0.1616562287514518,topo_114_N100_random.png,0.26626262626262626,0.16395155045786186
115,100,random,1201,24.02,0.2345252226098167,topo_115_N100_random.png,0.24262626262626263,0.2378551953446417
116,100,random,1194,23.88,0.1719378621758372,topo_116_N100_random.png,0.2412121212121212,0.17437917056372942
117,100,random,1285,25.7,0.4157719939709109,topo_117_N100_random.png,0.2595959595959596,0.4216754502747575
118,100,random,2227,44.54,0.8620615709788234,topo_118_N100_random.png,0.4498989898989899,0.8743017961245674
119,100,random,1584,31.68,0.751156070965812,topo_119_N100_random.png,0.32,0.761821572987639
120,100,random,2395,47.9,0.9358638447662389,topo_120_N100_random.png,0.48383838383838385,0.9491519723795526
121,100,random,1474,29.48,0.0552729599055389,topo_121_N100_random.png,0.29777777777777775,0.05605776866687515
122,100,random,2362,47.24,0.8983782008605368,topo_122_N100_random.png,0.4771717171717172,0.9111340779518629
123,100,random,1013,20.26,0.2515307779009741,topo_123_N100_random.png,0.20464646464646466,0.25510220882451734
124,100,random,1642,32.84,0.7289212647327131,topo_124_N100_random.png,0.33171717171717174,0.7392710595666462
125,100,random,1747,34.94,0.7570198513980408,topo_125_N100_random.png,0.3529292929292929,0.7677686119655587
